timestamp,heading,roll,pitch,accel_x,accel_y,accel_z
1752552558674,116.43,-18.28,-17.69,-0.09,0.1,0.08
1752552558774,119.08,-19.9,-18.72,-0.09,0.09,0.08
1752552558874,121.54,-21.42,-19.68,-0.08,0.09,0.08
1752552558974,123.81,-22.84,-20.57,-0.08,0.08,0.09
1752552559074,125.88,-24.14,-21.38,-0.07,0.08,0.09
1752552559174,127.76,-25.33,-22.12,-0.07,0.07,0.09
1752552559274,129.42,-26.39,-22.78,-0.06,0.07,0.09
1752552559374,130.87,-27.32,-23.36,-0.05,0.06,0.09
1752552559474,132.11,-28.12,-23.85,-0.05,0.05,0.1
1752552559574,133.13,-28.79,-24.25,-0.04,0.04,0.1
1752552559674,133.94,-29.31,-24.57,-0.03,0.04,0.1
1752552559774,134.51,-29.68,-24.81,-0.02,0.03,0.1
1752552559874,134.87,-29.91,-24.95,-0.02,0.02,0.1
1752552559975,135.0,-30.0,-25.0,-0.01,0.01,0.1
1752552560074,134.9,-29.94,-24.96,-0.0,0.0,0.1
1752552560174,134.59,-29.73,-24.83,0.01,-0.01,0.1
1752552560274,134.04,-29.38,-24.62,0.02,-0.02,0.1
1752552560374,133.28,-28.88,-24.31,0.02,-0.03,0.1
1752552560474,132.29,-28.24,-23.92,0.03,-0.03,0.1
1752552560574,131.09,-27.46,-23.44,0.04,-0.04,0.1
1752552560674,129.67,-26.55,-22.88,0.05,-0.05,0.1
1752552560774,128.03,-25.51,-22.23,0.05,-0.06,0.09
1752552560874,126.2,-24.34,-21.5,0.06,-0.07,0.09
1752552560974,124.15,-23.05,-20.7,0.07,-0.07,0.09
1752552561074,121.91,-21.65,-19.82,0.07,-0.08,0.09
1752552561174,119.48,-20.15,-18.87,0.08,-0.08,0.09
1752552561274,116.86,-18.54,-17.86,0.08,-0.09,0.08
1752552561374,114.07,-16.85,-16.78,0.09,-0.09,0.08
1752552561474,111.1,-15.07,-15.63,0.09,-0.09,0.08
1752552561574,107.96,-13.22,-14.44,0.09,-0.1,0.07
1752552561674,104.67,-11.3,-13.19,0.1,-0.1,0.07
1752552561774,101.23,-9.33,-11.89,0.1,-0.1,0.07
1752552561874,97.64,-7.32,-10.55,0.1,-0.1,0.06
1752552561974,93.93,-5.26,-9.17,0.1,-0.1,0.06
1752552562074,90.09,-3.19,-7.76,0.1,-0.1,0.05
1752552562174,86.14,-1.09,-6.32,0.1,-0.1,0.05
1752552562274,82.09,1.01,-4.86,0.1,-0.09,0.05
1752552562374,77.95,3.1,-3.38,0.1,-0.09,0.04
1752552562474,73.72,5.18,-1.89,0.09,-0.08,0.04
1752552562574,69.42,7.24,-0.39,0.09,-0.08,0.03
1752552562674,65.06,9.26,1.11,0.09,-0.07,0.03
1752552562774,60.65,11.23,2.61,0.08,-0.07,0.02
1752552562875,56.2,13.15,4.09,0.08,-0.06,0.02
1752552562974,51.72,15.0,5.56,0.07,-0.05,0.01
1752552563174,42.73,18.48,8.44,0.07,-0.04,0.01
1752552565174,328.07,26.43,24.99,0.06,-0.03,-0.0
